motionName,info
iceStrike,"[{'action': 'swingO2', 'frame': '1', 'delay': '0', 'pos': '16, 0'}, {'action': 'swingO2', 'frame': '1', 'delay': '-60', 'pos': '16, 0'}, {'action': 'swingO2', 'frame': '0', 'delay': '-300', 'pos': '12, 0'}, {'action': 'swingO1', 'frame': '2', 'delay': '-60', 'pos': '34, 0'}, {'action': 'swingO1', 'frame': '2', 'delay': '420', 'pos': '34, 0'}]"
burster1,"[{'action': 'stabT1', 'frame': '0', 'delay': '-300'}, {'action': 'stabT1', 'frame': '1', 'delay': '-300'}, {'action': 'stabT1', 'frame': '2', 'delay': '150'}, {'action': 'stabTF', 'frame': '1', 'delay': '150'}]"
burster2,"[{'action': 'stabT1', 'frame': '0', 'delay': '-300'}, {'action': 'stabT1', 'frame': '1', 'delay': '-300'}, {'action': 'stabT1', 'frame': '2', 'delay': '150'}, {'action': 'stabTF', 'frame': '1', 'delay': '150'}, {'action': 'stabT2', 'frame': '2', 'delay': '150'}]"
boost1,"[{'action': 'stabT1', 'frame': '1', 'delay': '30'}, {'action': 'stabT1', 'frame': '1', 'delay': '30'}, {'action': 'stabT1', 'frame': '1', 'delay': '30'}, {'action': 'stabT1', 'frame': '1', 'delay': '30'}, {'action': 'stabT1', 'frame': '1', 'delay': '0'}, {'action': 'stabT1', 'frame': '1', 'delay': '0'}]"
boost2,"[{'action': 'sit', 'frame': '0', 'delay': '90'}, {'action': 'sit', 'frame': '0', 'delay': '90'}, {'action': 'sit', 'frame': '0', 'delay': '90'}, {'action': 'sit', 'frame': '0', 'delay': '90'}, {'action': 'sit', 'frame': '0', 'delay': '90'}, {'action': 'sit', 'frame': '0', 'delay': '90'}, {'action': 'sit', 'frame': '0', 'delay': '90'}, {'action': 'sit', 'frame': '0', 'delay': '90'}]"
avenger,"[{'action': 'swingO3', 'frame': '0', 'delay': '-720'}, {'action': 'swingO3', 'frame': '1', 'delay': '60'}, {'action': 'swingO3', 'frame': '2', 'delay': '60'}]"
prone2,"[{'action': 'swingO1', 'frame': '0', 'delay': '-700'}, {'action': 'swingO1', 'frame': '2', 'delay': '300'}]"
rush,"[{'action': 'stabT1', 'frame': '0', 'delay': '100'}, {'action': 'stabT1', 'frame': '2', 'delay': '500'}]"
rush2,"[{'action': 'stabOF', 'frame': '0', 'delay': '100'}, {'action': 'stabOF', 'frame': '2', 'delay': '500'}]"
sanctuary,"[{'action': 'stand2', 'frame': '1', 'delay': '-480'}, {'action': 'alert', 'frame': '0', 'delay': '-60'}, {'action': 'swingPF', 'frame': '2', 'delay': '-120', 'pos': '0, -14'}, {'action': 'swingPF', 'frame': '2', 'delay': '-120', 'pos': '0, -58'}, {'action': 'swingPF', 'frame': '2', 'delay': '-120', 'pos': '0, -60'}, {'action': 'swingPF', 'frame': '2', 'delay': '-120', 'pos': '0, -61'}, {'action': 'swingPF', 'frame': '2', 'delay': '-120', 'pos': '0, -62'}, {'action': 'swingPF', 'frame': '2', 'delay': '-120', 'pos': '0, -63'}, {'action': 'swingPF', 'frame': '2', 'delay': '-240', 'pos': '0, -64'}, {'action': 'swingP1', 'frame': '2', 'delay': '840', 'pos': '-7, 0'}, {'action': 'alert', 'frame': '0', 'delay': '120'}, {'action': 'stand2', 'frame': '1', 'delay': '60'}]"
meteor,"[{'action': 'alert', 'frame': '0', 'delay': '-360'}, {'action': 'alert', 'frame': '1', 'delay': '-1800'}, {'action': 'alert', 'frame': '2', 'delay': '1320'}]"
blizzard,"[{'action': 'alert', 'frame': '0', 'delay': '-360'}, {'action': 'alert', 'frame': '1', 'delay': '-1800'}, {'action': 'alert', 'frame': '2', 'delay': '1320'}]"
genesis,"[{'action': 'alert', 'frame': '0', 'delay': '-900'}, {'action': 'alert', 'frame': '1', 'delay': '-900'}, {'action': 'alert', 'frame': '2', 'delay': '900'}]"
brandish1,"[{'action': 'swingOF', 'frame': '0', 'delay': '-120'}, {'action': 'swingOF', 'frame': '1', 'delay': '-120'}, {'action': 'swingOF', 'frame': '2', 'delay': '-120'}, {'action': 'swingOF', 'frame': '3', 'delay': '120'}, {'action': 'stabOF', 'frame': '0', 'delay': '120'}, {'action': 'stabOF', 'frame': '1', 'delay': '120'}, {'action': 'stabOF', 'frame': '2', 'delay': '120'}]"
brandish2,"[{'action': 'swingT3', 'frame': '0', 'delay': '-120'}, {'action': 'swingT3', 'frame': '1', 'delay': '-120'}, {'action': 'swingT3', 'frame': '2', 'delay': '120'}, {'action': 'swingTF', 'frame': '0', 'delay': '120'}, {'action': 'swingTF', 'frame': '1', 'delay': '120'}, {'action': 'swingTF', 'frame': '2', 'delay': '120'}, {'action': 'swingTF', 'frame': '3', 'delay': '120'}]"
ninjastorm,"[{'action': 'alert', 'frame': '0', 'delay': '-480'}, {'action': 'alert', 'frame': '1', 'delay': '210'}, {'action': 'alert', 'frame': '2', 'delay': '240'}]"
chainlightning,"[{'action': 'swingO3', 'frame': '0', 'delay': '-540'}, {'action': 'stabO2', 'frame': '1', 'delay': '240'}]"
blast,"[{'action': 'stabO2', 'frame': '0', 'delay': '-540'}, {'action': 'stabO2', 'frame': '1', 'delay': '300'}]"
showdown,"[{'action': 'proneStab', 'frame': '0', 'delay': '-900'}, {'action': 'swingOF', 'frame': '0', 'delay': '-90'}, {'action': 'swingOF', 'frame': '1', 'delay': '-90'}, {'action': 'swingOF', 'frame': '2', 'delay': '-90'}, {'action': 'swingOF', 'frame': '3', 'delay': '180'}]"
holyshield,"[{'action': 'stabO1', 'frame': '0', 'delay': '-300'}, {'action': 'stabO1', 'frame': '1', 'delay': '660'}]"
resurrection,"[{'action': 'alert', 'frame': '0', 'delay': '-840'}, {'action': 'alert', 'frame': '1', 'delay': '-840'}, {'action': 'alert', 'frame': '2', 'delay': '840'}]"
straight,"[{'action': 'stabO1', 'frame': '0', 'delay': '-240'}, {'action': 'stabO1', 'frame': '1', 'delay': '360'}]"
handgun,"[{'action': 'shoot2', 'frame': '0', 'delay': '-240'}, {'action': 'stabO1', 'frame': '0', 'delay': '540', 'pos': '2, 0'}, {'action': 'shoot2', 'frame': '0', 'delay': '0'}]"
somersault,"[{'action': 'alert', 'frame': '2', 'delay': '0'}, {'action': 'swingPF', 'frame': '3', 'delay': '-60', 'pos': '35, 0'}, {'action': 'swingT2', 'frame': '0', 'delay': '-90', 'pos': '-10, -8'}, {'action': 'swingP2', 'frame': '1', 'delay': '90', 'pos': '-30, -112', 'rotation': '180'}, {'action': 'swingP2', 'frame': '0', 'delay': '90', 'pos': '-13, -115', 'rotation': '180'}, {'action': 'swingP2', 'frame': '0', 'delay': '90', 'pos': '-7, -111', 'rotation': '180'}, {'action': 'stabT2', 'frame': '1', 'delay': '90', 'pos': '35, -84', 'rotation': '270'}, {'action': 'swingPF', 'frame': '3', 'delay': '210', 'pos': '35, 0'}]"
doublefire,"[{'action': 'alert', 'frame': '1', 'delay': '0'}, {'action': 'shoot2', 'frame': '0', 'delay': '60', 'pos': '4, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '13, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '15, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '17, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '15, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '18, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '17, 0'}, {'action': 'shoot2', 'frame': '0', 'delay': '30', 'pos': '4, 0'}]"
triplefire,"[{'action': 'alert', 'frame': '1', 'delay': '90'}, {'action': 'shoot2', 'frame': '0', 'delay': '60', 'pos': '4, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '13, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '17, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '13, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '15, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '18, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '17, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '17, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '21, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '20, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '16, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '60', 'pos': '18, 0'}]"
fake,"[{'action': 'shoot2', 'frame': '0', 'delay': '90'}, {'action': 'stabO1', 'frame': '0', 'delay': '720', 'pos': '2, 0'}, {'action': 'shoot2', 'frame': '0', 'delay': '0'}]"
doubleupper,"[{'action': 'alert', 'frame': '0', 'delay': '-240'}, {'action': 'swingOF', 'frame': '0', 'delay': '-90', 'pos': '5, 0'}, {'action': 'swingP2', 'frame': '1', 'delay': '90', 'pos': '4, 0'}, {'action': 'swingP2', 'frame': '0', 'delay': '90', 'pos': '-3, 0'}, {'action': 'swingO3', 'frame': '2', 'delay': '90', 'pos': '17, 0'}, {'action': 'stabO2', 'frame': '0', 'delay': '180', 'pos': '-4, 0'}, {'action': 'shoot2', 'frame': '3', 'delay': '90', 'pos': '-4, 0'}]"
screw,"[{'action': 'stabO2', 'frame': '1', 'delay': '540'}, {'action': 'swingP2', 'frame': '1', 'delay': '90'}, {'action': 'swingP2', 'frame': '1', 'delay': '90'}]"
dash,"[{'action': 'walk1', 'frame': '0', 'delay': '1'}]"
backspin,"[{'action': 'swingP2', 'frame': '1', 'delay': '-120'}, {'action': 'swingO2', 'frame': '1', 'delay': '-120'}, {'action': 'swingO2', 'frame': '0', 'delay': '-120'}, {'action': 'swingO2', 'frame': '1', 'delay': '-120', 'pos': '16, 0'}, {'action': 'shoot2', 'frame': '3', 'delay': '480'}]"
eorb,"[{'action': 'swingOF', 'frame': '0', 'delay': '-630'}, {'action': 'swingOF', 'frame': '1', 'delay': '-90', 'pos': '1, 6'}, {'action': 'swingOF', 'frame': '1', 'delay': '-90', 'pos': '1, 3'}, {'action': 'swingOF', 'frame': '2', 'delay': '90', 'pos': '11, 4'}, {'action': 'swingOF', 'frame': '3', 'delay': '180', 'pos': '28, 0'}, {'action': 'stabT2', 'frame': '0', 'delay': '90', 'pos': '-7, 0'}, {'action': 'alert', 'frame': '1', 'delay': '0'}]"
dragonstrike,"[{'action': 'swingP2', 'frame': '1', 'delay': '-60', 'pos': '6, -14'}, {'action': 'swingP2', 'frame': '0', 'delay': '-60', 'pos': '1, -20'}, {'action': 'swingOF', 'frame': '1', 'delay': '-60', 'pos': '6, -19'}, {'action': 'swingT2', 'frame': '0', 'delay': '-60', 'pos': '-7, -35'}, {'action': 'swingTF', 'frame': '1', 'delay': '-60', 'pos': '8, -34'}, {'action': 'swingTF', 'frame': '1', 'delay': '-60', 'pos': '8, -35'}, {'action': 'swingTF', 'frame': '1', 'delay': '-90', 'pos': '8, -34'}, {'action': 'swingTF', 'frame': '1', 'delay': '-90', 'pos': '8, -28'}, {'action': 'swingOF', 'frame': '3', 'delay': '-90', 'pos': '43, 0'}, {'action': 'swingOF', 'frame': '3', 'delay': '-90', 'pos': '43, 1'}, {'action': 'swingOF', 'frame': '3', 'delay': '-90', 'pos': '43, 2'}, {'action': 'swingOF', 'frame': '3', 'delay': '90', 'pos': '43, 3'}]"
airstrike,"[{'action': 'alert', 'frame': '0', 'delay': '-240'}, {'action': 'alert', 'frame': '1', 'delay': '-240'}, {'action': 'alert', 'frame': '2', 'delay': '-240'}, {'action': 'swingT2', 'frame': '1', 'delay': '-120', 'pos': '9, -12'}, {'action': 'swingT1', 'frame': '0', 'delay': '-120', 'pos': '0, -15'}, {'action': 'swingT1', 'frame': '0', 'delay': '-120', 'pos': '0, -16'}, {'action': 'swingT1', 'frame': '0', 'delay': '-120', 'pos': '0, -15'}, {'action': 'swingT1', 'frame': '0', 'delay': '-120', 'pos': '0, -13'}, {'action': 'swingT2', 'frame': '2', 'delay': '-120', 'pos': '15, 1'}, {'action': 'swingT2', 'frame': '2', 'delay': '-120', 'pos': '15, 2'}, {'action': 'swingT2', 'frame': '2', 'delay': '-120', 'pos': '15, 3'}, {'action': 'swingT3', 'frame': '1', 'delay': '-120', 'pos': '2, 0'}, {'action': 'alert', 'frame': '0', 'delay': '-180'}, {'action': 'alert', 'frame': '1', 'delay': '450'}, {'action': 'alert', 'frame': '2', 'delay': '450'}]"
edrain,"[{'action': 'alert', 'frame': '0', 'delay': '600'}]"
octopus,"[{'action': 'alert', 'frame': '0', 'delay': '330'}, {'action': 'alert', 'frame': '1', 'delay': '300'}]"
backstep,"[{'action': 'stabO1', 'frame': '0', 'delay': '300'}]"
timeleap,"[{'action': 'alert', 'frame': '0', 'delay': '-450'}, {'action': 'alert', 'frame': '1', 'delay': '-540'}, {'action': 'alert', 'frame': '2', 'delay': '90'}]"
shot,"[{'action': 'shoot2', 'frame': '0', 'delay': '-30'}, {'action': 'stabO1', 'frame': '0', 'delay': '750', 'pos': '-1, 0'}, {'action': 'shoot2', 'frame': '0', 'delay': '0'}]"
recovery,"[{'action': 'alert', 'frame': '0', 'delay': '30'}]"
fist,"[{'action': 'alert', 'frame': '2', 'delay': '-90'}, {'action': 'alert', 'frame': '1', 'delay': '-90', 'pos': '1, 0'}, {'action': 'alert', 'frame': '0', 'delay': '-270', 'pos': '2, 0'}, {'action': 'stabOF', 'frame': '1', 'delay': '90', 'pos': '-1, 2'}, {'action': 'stabOF', 'frame': '1', 'delay': '90', 'pos': '-2, 2'}, {'action': 'stabO2', 'frame': '0', 'delay': '90', 'pos': '0, 0'}, {'action': 'stabO1', 'frame': '1', 'delay': '90', 'pos': '1, 0'}, {'action': 'stabO1', 'frame': '1', 'delay': '90', 'pos': '0, 0'}, {'action': 'swingTF', 'frame': '1', 'delay': '90', 'pos': '15, 0'}, {'action': 'stabOF', 'frame': '1', 'delay': '90', 'pos': '13, 2'}, {'action': 'stabOF', 'frame': '1', 'delay': '90', 'pos': '12, 2'}, {'action': 'swingT2', 'frame': '0', 'delay': '90', 'pos': '4, 0'}, {'action': 'stabO1', 'frame': '1', 'delay': '90', 'pos': '-5, 0'}, {'action': 'stabO1', 'frame': '1', 'delay': '90', 'pos': '-6, 0'}, {'action': 'stabTF', 'frame': '2', 'delay': '90', 'pos': '3, 8'}, {'action': 'swingOF', 'frame': '1', 'delay': '90', 'pos': '-13, -11'}, {'action': 'swingOF', 'frame': '2', 'delay': '90', 'pos': '3, -11'}, {'action': 'swingT1', 'frame': '2', 'delay': '90', 'pos': '-2, 0'}, {'action': 'swingT1', 'frame': '2', 'delay': '90', 'pos': '-3, 2'}, {'action': 'stabOF', 'frame': '0', 'delay': '90', 'pos': '0, 0'}, {'action': 'swingP2', 'frame': '0', 'delay': '90', 'pos': '0, -16'}, {'action': 'swingOF', 'frame': '1', 'delay': '90', 'pos': '4, -21'}, {'action': 'swingOF', 'frame': '1', 'delay': '90', 'pos': '7, -27'}, {'action': 'swingOF', 'frame': '2', 'delay': '90', 'pos': '-24, -23'}, {'action': 'swingPF', 'frame': '3', 'delay': '90', 'pos': '51, 0'}]"
fireburner,"[{'action': 'shoot2', 'frame': '0', 'delay': '-240'}, {'action': 'stabO1', 'frame': '0', 'delay': '-270', 'pos': '2, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '90', 'pos': '2, 0'}, {'action': 'shoot2', 'frame': '0', 'delay': '0'}]"
coolingeffect,"[{'action': 'shoot2', 'frame': '0', 'delay': '-240'}, {'action': 'stabO1', 'frame': '0', 'delay': '-90', 'pos': '2, 0'}, {'action': 'stabO1', 'frame': '0', 'delay': '270', 'pos': '2, 0'}, {'action': 'shoot2', 'frame': '0', 'delay': '0'}]"
homing,"[{'action': 'swingO3', 'frame': '0', 'delay': '-420'}, {'action': 'swingO3', 'frame': '1', 'delay': '150'}, {'action': 'swingO3', 'frame': '2', 'delay': '180'}, {'action': 'alert', 'frame': '2', 'delay': '30'}]"
ghostwalk,"[{'delay': '180'}, {'delay': '180'}, {'delay': '180'}]"
ghoststand,"[{'delay': '180'}, {'delay': '180'}, {'delay': '180'}]"
ghostjump,"[{'delay': '200'}, {'delay': '180'}, {'delay': '200'}]"
ghostproneStab,"[{'delay': '300'}, {'delay': '180'}, {'delay': '300'}]"
ghostladder,"[{'delay': '300'}, {'delay': '180'}, {'delay': '300'}]"
ghostrope,"[{'delay': '180'}, {'delay': '180'}, {'delay': '180'}]"
ghostfly,"[{'delay': '180'}, {'delay': '180'}, {'delay': '180'}]"
ghostsit,"[{}, {'delay': '180'}, {}]"
cannon,"[{'action': 'alert', 'frame': '0', 'delay': '780'}]"
torpedo,"[{'action': 'alert', 'frame': '0', 'delay': '990'}]"
darksight,"[{'action': 'alert', 'frame': '0', 'delay': '100'}]"
bamboo,"[{'action': 'alert', 'frame': '1', 'delay': '-720'}, {'action': 'swingPF', 'frame': '1', 'delay': '-120', 'pos': '8, 0'}, {'action': 'swingP2', 'frame': '1', 'delay': '-120', 'pos': '6, -218'}, {'action': 'swingP2', 'frame': '0', 'delay': '-120', 'pos': '1, -266'}, {'action': 'swingOF', 'frame': '1', 'delay': '-120', 'pos': '6, -287'}, {'action': 'swingT2', 'frame': '0', 'delay': '-120', 'pos': '6, -299'}, {'action': 'swingTF', 'frame': '1', 'delay': '-120', 'pos': '8, -299'}, {'action': 'swingO1', 'frame': '2', 'delay': '-120', 'pos': '23, -308'}, {'action': 'swingO3', 'frame': '1', 'delay': '-120', 'pos': '18, -306'}, {'action': 'swingO2', 'frame': '2', 'delay': '-120', 'pos': '4, -308'}, {'action': 'swingO2', 'frame': '1', 'delay': '-120', 'pos': '6, -306'}, {'action': 'swingTF', 'frame': '1', 'delay': '-120', 'pos': '6, -304'}, {'action': 'swingO1', 'frame': '2', 'delay': '-120', 'pos': '23, -313'}, {'action': 'swingO2', 'frame': '1', 'delay': '-120', 'pos': '6, -309'}, {'action': 'swingTF', 'frame': '1', 'delay': '-120', 'pos': '6, -307'}, {'action': 'swingTF', 'frame': '1', 'delay': '-120', 'pos': '6, -308'}, {'action': 'swingTF', 'frame': '1', 'delay': '-120', 'pos': '6, -308'}, {'action': 'stabO1', 'frame': '1', 'delay': '-120', 'pos': '-12, -316'}, {'action': 'swingTF', 'frame': '1', 'delay': '-120', 'pos': '-3, -311'}, {'action': 'swingTF', 'frame': '1', 'delay': '-120', 'pos': '1, -311'}, {'action': 'swingTF', 'frame': '1', 'delay': '-120', 'pos': '2, -311'}, {'action': 'swingTF', 'frame': '1', 'delay': '-120', 'pos': '3, -311'}, {'action': 'swingTF', 'frame': '1', 'delay': '-120', 'pos': '4, -311'}, {'action': 'swingTF', 'frame': '1', 'delay': '120', 'pos': '5, -311'}, {'action': 'swingTF', 'frame': '1', 'delay': '120', 'pos': '6, -311'}, {'action': 'swingTF', 'frame': '1', 'delay': '120', 'pos': '6, -287'}, {'action': 'swingOF', 'frame': '3', 'delay': '120', 'pos': '43, 2'}, {'action': 'swingOF', 'frame': '3', 'delay': '120', 'pos': '43, 3'}, {'action': 'swingOF', 'frame': '3', 'delay': '120', 'pos': '43, 3'}, {'action': 'swingOF', 'frame': '3', 'delay': '120', 'pos': '43, 3'}, {'action': 'alert', 'frame': '1', 'delay': '240'}]"
wave,"[{'action': 'swingTF', 'frame': '1', 'delay': '-60', 'pos': '14, 0'}, {'action': 'swingTF', 'frame': '1', 'delay': '-420', 'pos': '15, 0'}, {'action': 'stabO1', 'frame': '1', 'delay': '-60', 'pos': '-29, 0'}, {'action': 'stabO1', 'frame': '1', 'delay': '450', 'pos': '-30, 0'}, {'action': 'alert', 'frame': '0', 'delay': '60'}]"
